Thread Title
Guest Checkout
Link into User Dashboard doesn’t work
Unable to add spacing between header and Tutor LMS content
Urgent: “Add to Cart” Not Working – Business Impacted
How to restore “Course Settings” tab on Gutenberg backend course builder
Still nothing about how to remove /blog/ in course slug on multisite?
Remove ‘Mark as Complete’ and instead use ‘Next’?
Social login with Google
Two Measure Issue with Mentor Access
YouTube videos are recognised as Invalid Video Source
How to add email verification to registration for stopping bots from registering
[NSFW] Notice: Function _load_textdomain_just_in_time was called incorrectly
Quiz Question Pagination Problem
Dashboard Page Not Working After Pretty Permalinks Enabled
quiz options
Redirection after login
I can’t embed external videos to my introductory video courses
Resetting Attempts for Students in Tutor LMS
Woocommerce ecommerce engine Cart issue
Videos Stopped Working!
Add Custom Fee eCommerce Engine Navite
Courses show up as WordPress ‘Posts’
Quiz Repeats After Completion
Mobile Number Registration and OTP Login Support
What Happens to Enrolled Students When a Course Bundle is Drafted in Tutor LMS?
Show video thumbnails
Enable Login via Phone Number for New Registrations in Tutor LMS
Edit individual lesson with elementor
can we add buy now button in course detail page
Missing a lot of String translations
Issue with Course Bundle Author Assignment & Revenue Sharing
Edit all courses
Student Registration Tutor LMS
WooCommerce and Tutor LMS are not well integrated
Bug: X-out button doesn’t work on checkout page
Paypal in Native engine – payment not confirmed
Assignment page not working
Vimeo videos not working
Enrollment
emails not sending after purchase via CartFlows
Vimeo Share Link Not Working with Tutor LMS Course Player
Sharing Zoom meeting link on email
Removing woocommerce from existing flow
Pages not loading
Can’t add to cart
Fatal error: Uncaught Exception: Table ‘xxx_10_tutor_carts’ doesn’t exist
Paypal test with sandbox – no email confirmations
Date Picker
‘the content’ function
Auto Complete Orders not Working
Paypal Card Checkout functionality
[NSFW] The lecture is not progressing
We can integrate apple/google payment systems
Login Issues in Tutor LMS 3
Student registration page is blocked
Student Management System Integration with Tutor LMS
User Deletion Leads to Data Wipe
“password forgotten” not working
eCommerce Engine – Native
Closing date for assessments
Enabling Multi-Currency Payments for Tutor LMS Pro on WordPress
The order not completing after pay with PayPal
PayPal payment not working（free version）
Guest Buy in native eCommerce engine
Course builder translation not loaded
mandatory checkbox for revocation at checkout
"BUG scheduling course, it change to yesterday"
Intro Video as Course Curriculum
How to add custom reviews?
Course creating and editting problem
Removing Wishlist Button
Guest user access does not work
Influx in bot accounts static nouce value
Error 404
Customizing User Registration Fields in Tutor LMS
Front End “About Lesson” removal
Creating an Account as a Student
Error in Course-Builder
Lesson and Dashboard Customisation
Divi Theme Builder Compatibility
"Red Boxes & Editing Issues After Tutor LMS Update (March 3, 2025)"
Add Media Link Broken In Latest Pro Update
typo in the tab
Error when sign-up process
Valid YouTube URL prompted as invalid just because it has an underscore
Bug in Tutor LMS: Student Registration Date Keeps Changing
Are there any course widgets registered in Elementor?
Translation in German
How Can I Protect My Course Videos From Downloading?
Urgent Security Issue – Zoom Meeting ID & Passcode Exposed
Unable to download certificates
Quiz redirects back even when passed
Compatibility between Divi and Tutor LMS
Payment and Checkout page
Order Received and 404 Not Found
change content order in single course page
Inquiry About Adding Clickable Links in Course Announcements
Error 404
add logout text in theme header
Paid Memberships Pro – WPML
Manually Order Courses in Tutor LMS
How to change “Fully Booked” text from card to “Comming Soon”
Add end date option to Quiz and assignment
Follow-up on YouTube Video Quality Issue in Tutor LMS
Problemas con el registro de estudiantes
PayPal Problems
cant dawnload strip
Tutor cart doesn’t work
Add courses to students
I would like to embed custom HTML
Quiz attempts Still shows after deleting
I tried to use tutor LMS plugin with Elementor’s TUTOR LMS ADDONS
How can I add “Refund” button for customers to request refund?
issue with translation
Issue with add to cart with Tutor lms and WooCommerce
Tutor LMS menu Not Shown in WP Admin except “Update to Pro”
Enrolling Problem
Tutor LMS Course Detail Page not Found
Checkout Transparent
Expanding Lesson Content Width in Tutor LMS
Double Headers/Footers on Tutor LMS Course Page
Course Enrollment Filter or Hook in Tutor LMS
TutorLMS + polylang
Tutor LMS + Loco Translate
PSA: TutorLMS with hCaptcha plugin bug
How To Show Enrolled Courses To Users
Is it possible to pay by credit card through the Paypal option?(free version)
Tutor zastępuje moje style
Whats the best mode to translate Tutor Lms Pro + Theme Tutor Stater to PT-BR?
Tutor LMS Quizes looping/ lagging Issue
The PayPal payment method is not displayed on the website
Videopress issue
Can’t edit when actvie tutor lms
Error page after registration
Error: 150 Foreign key constraint is incorrectly formed
Past imag to tutor lms editor text
WP Job Manager+Cliptakes+Tutor LMS+Ultimate Member
Can’t see list of courses in the dashboard of Tutor LMS
Transfer course from TutorLMS to TutorLMS
Problem with login social plugin
Past imag to tutor lms editor text
After loco translate the course filter categori doesnt stack
Enroll Student to Tutor lms Course Using WooCommerce Order API
Scorm files in course builder
“Something Went Wrong!” Error When Changing Pages in Tutor LMS
Password Reset Email Template Not Available in Tutor LMS Pro
TutorLMS Pro Customer Support is Very Poor. I’ve Been Facing Lot of Issues
import students error
Compatibility Regarding New Course Builder
Feature Req.: Subcategories under Tutor LMS Elementor addon-Course List- Querry
Where can the instructor see withdrawal guidance?
Mercado Pago
Add to basket with Native Tutor E commerce
Issue with Completed Courses Not Showing in Tutor LMS
Strings in JS files are not translate able
Is it possible to get user info to Tutor LMS instead of wp user?
Course Builder/Create-Course Background Color
Import Export Option
Short cut cood to quize
number of students registered in the course
Low-Quality Playback Issue in Tutor LMS YouTube Player
Loading problems with header and footer images
Something went wrong error
WooCommerce Lost Password Link Not Working When Tutor LMS is Activated
Cannot Create New Course on Frontend
lessons not work
Q&A
This page doesn’t seem to exist.
WooCommerce TutorLMS order not set to complete automatically
Tutor LMS automatic goods in Woocommerce for courses
Can’t find user enrollment information in database
Google Classroom import not working
Cart Page change
Image and Category Sync Issue Between Tutor LMS Course and WooCommerce Product
Issue with “Add to Cart” Button for Unlogged-In Users (Free Version)
Can’t see details of students
SEO and Unicode for Tutor LMS
Tutor LMS video is paid but not showing
Tutor LMS and WooCommerce Integration: Account Setup and Course Access
2FA issue
Seeing Error “Register” link
Doubts about Tutur Player
Formulário de Cadastro não aparece
Reset course data / students?
Issue with Displaying HTML Tags in the Biography Content
"integration with OneSignal,"
Custom Elementor Single Course Template Not Applying to Tutor LMS Courses
Redirect to lesson instead of course section
YouTube video not fullscreen
How to change the expiration date of a course for specific users
Using Gutenberg in Lessons?
Inquiry to buy Tutor LMS PRO 3.0
Inquiry to buy Tutor LMS PRO 3.0
Queries for Bundles
Problem with automatic student enrollment
videos freeze
Tutor LMS – Coupon error
